location_name,latitude,longitude,total_pois,pois_fetched,ACCESS_GATEWAY,ADMINISTRATIVE_DIVISION,ADVENTURE_SPORTS_VENUE,AGRICULTURE,AIRPORT,AMUSEMENT_PARK,AUTOMOTIVE_DEALER,BANK,BEACH,BUILDING_POINT,BUSINESS_PARK,CAFE_PUB,CAMPING_GROUND,CAR_WASH,CASH_DISPENSER,CASINO,CINEMA,CITY_CENTER,CLUB_ASSOCIATION,COLLEGE_UNIVERSITY,COMMERCIAL_BUILDING,COMMUNITY_CENTER,COMPANY,COURTHOUSE,CULTURAL_CENTER,DENTIST,DEPARTMENT_STORE,DOCTOR,ELECTRIC_VEHICLE_STATION,EMBASSY,EMERGENCY_MEDICAL_SERVICE,ENTERTAINMENT,EXCHANGE,EXHIBITION_CONVENTION_CENTER,FERRY_TERMINAL,FIRE_STATION_BRIGADE,FRONTIER_CROSSING,FUEL_FACILITIES,GEOGRAPHIC_FEATURE,GOLF_COURSE,GOVERNMENT_OFFICE,HEALTH_CARE_SERVICE,HELIPAD_HELICOPTER_LANDING,HOLIDAY_RENTAL,HOSPITAL_POLYCLINIC,HOTEL_MOTEL,ICE_SKATING_RINK,IMPORTANT_TOURIST_ATTRACTION,INDUSTRIAL_BUILDING,LEISURE_CENTER,LIBRARY,MANUFACTURING_FACILITY,MARINA,MARKET,MEDIA_FACILITY,MILITARY_INSTALLATION,MOTORING_ORGANIZATION_OFFICE,MOUNTAIN_PASS,MUSEUM,NATIVE_RESERVATION,NIGHTLIFE,NON_GOVERNMENTAL_ORGANIZATION,OPEN_PARKING_AREA,OTHER,PARKING_GARAGE,PARK_RECREATION_AREA,PETROL_STATION,PHARMACY,PLACE_OF_WORSHIP,POLICE_STATION,PORT_WAREHOUSE_FACILITY,POST_OFFICE,PRIMARY_RESOURCE_UTILITY,PRISON_CORRECTIONAL_FACILITY,PUBLIC_AMENITY,PUBLIC_TRANSPORT_STOP,RAILWAY_STATION,RENT_A_CAR_FACILITY,RENT_A_CAR_PARKING,REPAIR_FACILITY,RESEARCH_FACILITY,RESIDENTIAL_ACCOMMODATION,RESTAURANT,RESTAURANT_AREA,REST_AREA,SCENIC_PANORAMIC_VIEW,SCHOOL,SHOP,SHOPPING_CENTER,SPORTS_CENTER,STADIUM,SWIMMING_POOL,TENNIS_COURT,THEATER,TOURIST_INFORMATION_OFFICE,TRAFFIC_LIGHT,TRAFFIC_SERVICE_CENTER,TRAFFIC_SIGN,TRAIL_SYSTEM,TRANSPORT_AUTHORITY_VEHICLE_REGISTRATION,TRUCK_STOP,VETERINARIAN,WATER_SPORT,WEIGH_STATION,WELFARE_ORGANIZATION,WINERY,ZOOS_ARBORETA_BOTANICAL_GARDEN,raw_classifications,unique_classifications,non_zero_categories
"Mumbai Central, Mumbai, Maharashtra",18.9770366,72.826266,100,100,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,7,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,1,0,0,0,0,0,0,0,3,0,16,20,0,0,0,6,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POST_OFFICE, SCHOOL, DOCTOR, COMPANY, LIBRARY, PHARMACY, EXCHANGE, GOVERNMENT_OFFICE, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SPORTS_CENTER, HOSPITAL_POLYCLINIC, GEOGRAPHIC_FEATURE, RESTAURANT, REPAIR_FACILITY, CAFE_PUB, AUTOMOTIVE_DEALER, DENTIST, SHOP, POLICE_STATION",20,20
"CG Road, Ahmedabad, Gujarat",23.1083596,72.5869112,100,100,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,8,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REPAIR_FACILITY, RESTAURANT, CAFE_PUB, BANK, RESIDENTIAL_ACCOMMODATION, HEALTH_CARE_SERVICE, PLACE_OF_WORSHIP, SCHOOL, SPORTS_CENTER, AUTOMOTIVE_DEALER, DENTIST, SHOP, COMMERCIAL_BUILDING, COMPANY, DOCTOR, PHARMACY",16,16
"MG Road, Kochi, Kerala",10.5160332,76.2538456,100,100,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,10,0,0,1,0,9,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,1,0,0,0,0,0,0,12,0,2,7,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDUSTRIAL_BUILDING, HEALTH_CARE_SERVICE, SCHOOL, DOCTOR, COMPANY, PARK_RECREATION_AREA, MARKET, GOVERNMENT_OFFICE, HOTEL_MOTEL, COLLEGE_UNIVERSITY, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, COMMERCIAL_BUILDING, EXHIBITION_CONVENTION_CENTER, REPAIR_FACILITY, RESTAURANT, GEOGRAPHIC_FEATURE, ELECTRIC_VEHICLE_STATION, AUTOMOTIVE_DEALER, PRIMARY_RESOURCE_UTILITY, DENTIST, SHOP, PETROL_STATION",23,23
"Banjara Hills, Hyderabad, Telangana",17.4091038,78.4394666,100,100,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,1,0,19,13,0,0,0,4,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POST_OFFICE, BANK, SHOPPING_CENTER, SCHOOL, DOCTOR, COMPANY, PHARMACY, EXCHANGE, MEDIA_FACILITY, GOVERNMENT_OFFICE, HOTEL_MOTEL, PUBLIC_AMENITY, RESIDENTIAL_ACCOMMODATION, COMMERCIAL_BUILDING, REPAIR_FACILITY, RESTAURANT, CAFE_PUB, SHOP, OPEN_PARKING_AREA, PETROL_STATION",20,20
"Vastrapur, Ahmedabad, Gujarat",23.0350831,72.5276438,100,100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,8,14,0,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GEOGRAPHIC_FEATURE, CAFE_PUB, RESTAURANT, REPAIR_FACILITY, RESIDENTIAL_ACCOMMODATION, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, SCHOOL, SHOP, COMMERCIAL_BUILDING, COMPANY, DOCTOR, HOSPITAL_POLYCLINIC, EXCHANGE",14,14
"Koregaon Park, Pune, Maharashtra",18.5420451,73.8881809,100,100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,15,13,0,0,0,2,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"SCHOOL, COMPANY, DOCTOR, IMPORTANT_TOURIST_ATTRACTION, PHARMACY, PARK_RECREATION_AREA, MARKET, HOTEL_MOTEL, PUBLIC_AMENITY, RESIDENTIAL_ACCOMMODATION, NON_GOVERNMENTAL_ORGANIZATION, PLACE_OF_WORSHIP, SPORTS_CENTER, EXHIBITION_CONVENTION_CENTER, CAFE_PUB, RESTAURANT, PRIMARY_RESOURCE_UTILITY, SHOP, WELFARE_ORGANIZATION",19,19
"Indiranagar, Bangalore, Karnataka",12.9719015,77.6367928,100,100,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,0,0,2,5,0,6,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BANK, SCHOOL, COMPANY, DOCTOR, PHARMACY, NIGHTLIFE, PARK_RECREATION_AREA, GOVERNMENT_OFFICE, HOTEL_MOTEL, COLLEGE_UNIVERSITY, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, COMMERCIAL_BUILDING, HOSPITAL_POLYCLINIC, GEOGRAPHIC_FEATURE, RESTAURANT, CAFE_PUB, AUTOMOTIVE_DEALER, DENTIST, SHOP, OPEN_PARKING_AREA",21,21
"Jubilee Hills, Hyderabad, Telangana",17.4333041,78.4013942,100,100,0,0,0,0,0,1,5,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,33,15,0,0,0,4,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NIGHTLIFE, REPAIR_FACILITY, CAFE_PUB, RESTAURANT, RESIDENTIAL_ACCOMMODATION, SPORTS_CENTER, SCHOOL, AMUSEMENT_PARK, DENTIST, AUTOMOTIVE_DEALER, COMMERCIAL_BUILDING, SHOP, ELECTRIC_VEHICLE_STATION, HOTEL_MOTEL, COMPANY, PHARMACY, LEISURE_CENTER",17,17
"T Nagar, Chennai, Tamil Nadu",12.9605278,80.2083254,100,100,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,29,4,0,0,0,10,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REPAIR_FACILITY, RESTAURANT, BANK, RESIDENTIAL_ACCOMMODATION, PLACE_OF_WORSHIP, SCHOOL, SPORTS_CENTER, AUTOMOTIVE_DEALER, DENTIST, SHOP, MARKET, GOVERNMENT_OFFICE, HOTEL_MOTEL, COMPANY, DOCTOR, HOSPITAL_POLYCLINIC, PHARMACY, LEISURE_CENTER",18,18
"Salt Lake, Kolkata, West Bengal",22.5580861,88.412438,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,8,18,0,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"GEOGRAPHIC_FEATURE, RESTAURANT, REPAIR_FACILITY, CAFE_PUB, RESIDENTIAL_ACCOMMODATION, PARK_RECREATION_AREA, PLACE_OF_WORSHIP, SCHOOL, PUBLIC_AMENITY, SHOP, WELFARE_ORGANIZATION, HOTEL_MOTEL, DOCTOR, COMPANY, GOVERNMENT_OFFICE, PHARMACY, POLICE_STATION",17,17
